entity,entity_type,metric,value,period,source
ANZ,standalone,Deposits,130298.2,2023-Q1,rbnz-dashboard
ANZ,standalone,Equity,17880.1,2023-Q1,rbnz-dashboard
ANZ,standalone,Core Funding Ratio (CFR),91.4,2023-Q1,rbnz-dashboard
ANZ,standalone,1-Month Mismatch Ratio,7.7,2023-Q1,rbnz-dashboard
ANZ,standalone,1-Week Mismatch Ratio,9.3,2023-Q1,rbnz-dashboard
ANZ,standalone,Top 5 Non-Bank Credit Exposures,33.7,2023-Q1,rbnz-dashboard
ANZ,standalone,Top 5 Bank Credit Exposures,10.2,2023-Q1,rbnz-dashboard
ANZ,standalone,Bank Exposures ≥10% of CET1,0,2023-Q1,rbnz-dashboard
ANZ Group,group,Total Capital Ratio,,2023-Q1,rbnz-dashboard
ANZ Group,group,CET1 Ratio,,2023-Q1,rbnz-dashboard
ANZ Group,group,Tier 1 Capital Ratio,,2023-Q1,rbnz-dashboard
ANZ Group,group,Total Risk-Weighted Assets,,2023-Q1,rbnz-dashboard
ANZ Group,group,Total Non-Performing Loans,649.7,2023-Q1,rbnz-dashboard
ANZ Group,group,NPL Ratio,0.4,2023-Q1,rbnz-dashboard
ANZ Group,group,Individual Provisions,88.3,2023-Q1,rbnz-dashboard
ANZ Group,group,Collective Provisions,662.5,2023-Q1,rbnz-dashboard
ANZ Group,group,Return on Assets,1,2023-Q1,rbnz-dashboard
ANZ Group,group,Return on Equity,12,2023-Q1,rbnz-dashboard
ANZ Group,group,NIM,2.4,2023-Q1,rbnz-dashboard
ANZ Group,group,Net Interest Income,1054.3,2023-Q1,rbnz-dashboard
ANZ Group,group,Trading and Hedging Gains,-0.6,2023-Q1,rbnz-dashboard
ANZ Group,group,Fees and Commission Income,120.1,2023-Q1,rbnz-dashboard
ANZ Group,group,Other Income,3.6,2023-Q1,rbnz-dashboard
ANZ Group,group,Operating Expenses,396.8,2023-Q1,rbnz-dashboard
ANZ Group,group,Profit After Tax,491.2,2023-Q1,rbnz-dashboard
ANZ Group,group,Total Assets,189253,2023-Q1,rbnz-dashboard
ANZ Group,group,Cash Position,11713.6,2023-Q1,rbnz-dashboard
ANZ Group,group,Net Loans and Advances,147422.5,2023-Q1,rbnz-dashboard
ANZ Group,group,Deposits,130298.2,2023-Q1,rbnz-dashboard
ANZ Group,group,Equity,16131.5,2023-Q1,rbnz-dashboard
ANZ Group,group,Core Funding Ratio (CFR),,2023-Q1,rbnz-dashboard
ANZ Group,group,1-Month Mismatch Ratio,,2023-Q1,rbnz-dashboard
ANZ Group,group,1-Week Mismatch Ratio,,2023-Q1,rbnz-dashboard
ANZ Group,group,Top 5 Non-Bank Credit Exposures,,2023-Q1,rbnz-dashboard
ANZ Group,group,Top 5 Bank Credit Exposures,,2023-Q1,rbnz-dashboard
ANZ Group,group,Bank Exposures ≥10% of CET1,,2023-Q1,rbnz-dashboard
ASB,standalone,Total Capital Ratio,15.7,2023-Q1,rbnz-dashboard
ASB,standalone,CET1 Ratio,14.3,2023-Q1,rbnz-dashboard
ASB,standalone,Tier 1 Capital Ratio,14.3,2023-Q1,rbnz-dashboard
ASB,standalone,Total Risk-Weighted Assets,70567.9,2023-Q1,rbnz-dashboard
ASB,standalone,Total Non-Performing Loans,472.9,2023-Q1,rbnz-dashboard
ASB,standalone,NPL Ratio,0.4,2023-Q1,rbnz-dashboard
ASB,standalone,Individual Provisions,67.7,2023-Q1,rbnz-dashboard
ASB,standalone,Collective Provisions,535.8,2023-Q1,rbnz-dashboard
ASB,standalone,Return on Assets,1.2,2023-Q1,rbnz-dashboard
ASB,standalone,Return on Equity,13.9,2023-Q1,rbnz-dashboard
ASB,standalone,NIM,2.5,2023-Q1,rbnz-dashboard
ASB,standalone,Net Interest Income,745.7,2023-Q1,rbnz-dashboard
ASB,standalone,Trading and Hedging Gains,-13.5,2023-Q1,rbnz-dashboard
ASB,standalone,Fees and Commission Income,92.4,2023-Q1,rbnz-dashboard
ASB,standalone,Other Income,0,2023-Q1,rbnz-dashboard
ASB,standalone,Operating Expenses,310.2,2023-Q1,rbnz-dashboard
ASB,standalone,Profit After Tax,359.1,2023-Q1,rbnz-dashboard
ASB,standalone,Total Assets,125614.1,2023-Q1,rbnz-dashboard
ASB,standalone,Cash Position,7704.7,2023-Q1,rbnz-dashboard
ASB,standalone,Net Loans and Advances,107491.5,2023-Q1,rbnz-dashboard
ASB,standalone,Deposits,78761.7,2023-Q1,rbnz-dashboard
ASB,standalone,Equity,10631.5,2023-Q1,rbnz-dashboard
ASB,standalone,Core Funding Ratio (CFR),89.7,2023-Q1,rbnz-dashboard
ASB,standalone,1-Month Mismatch Ratio,7.4,2023-Q1,rbnz-dashboard
ASB,standalone,1-Week Mismatch Ratio,7.2,2023-Q1,rbnz-dashboard
ASB,standalone,Top 5 Non-Bank Credit Exposures,17,2023-Q1,rbnz-dashboard
ASB,standalone,Top 5 Bank Credit Exposures,22.8,2023-Q1,rbnz-dashboard
ASB,standalone,Bank Exposures ≥10% of CET1,,2023-Q1,rbnz-dashboard
BNZ,standalone,Total Capital Ratio,15.7,2023-Q1,rbnz-dashboard
BNZ,standalone,CET1 Ratio,13.3,2023-Q1,rbnz-dashboard
BNZ,standalone,Tier 1 Capital Ratio,14.1,2023-Q1,rbnz-dashboard
BNZ,standalone,Total Risk-Weighted Assets,78346.6,2023-Q1,rbnz-dashboard
BNZ,standalone,Total Non-Performing Loans,438.1,2023-Q1,rbnz-dashboard
BNZ,standalone,NPL Ratio,0.4,2023-Q1,rbnz-dashboard
BNZ,standalone,Individual Provisions,73.5,2023-Q1,rbnz-dashboard
BNZ,standalone,Collective Provisions,783.6,2023-Q1,rbnz-dashboard
BNZ,standalone,Return on Assets,1.2,2023-Q1,rbnz-dashboard
BNZ,standalone,Return on Equity,13.8,2023-Q1,rbnz-dashboard
BNZ,standalone,NIM,2.4,2023-Q1,rbnz-dashboard
BNZ,standalone,Net Interest Income,712.2,2023-Q1,rbnz-dashboard
BNZ,standalone,Trading and Hedging Gains,58.5,2023-Q1,rbnz-dashboard
BNZ,standalone,Fees and Commission Income,98.2,2023-Q1,rbnz-dashboard
BNZ,standalone,Other Income,-0.1,2023-Q1,rbnz-dashboard
BNZ,standalone,Operating Expenses,277,2023-Q1,rbnz-dashboard
BNZ,standalone,Profit After Tax,381,2023-Q1,rbnz-dashboard
BNZ,standalone,Total Assets,126459.8,2023-Q1,rbnz-dashboard
BNZ,standalone,Cash Position,10377.5,2023-Q1,rbnz-dashboard
BNZ,standalone,Net Loans and Advances,101136.6,2023-Q1,rbnz-dashboard
BNZ,standalone,Deposits,76838,2023-Q1,rbnz-dashboard
BNZ,standalone,Equity,11339.8,2023-Q1,rbnz-dashboard
BNZ,standalone,Core Funding Ratio (CFR),89.4,2023-Q1,rbnz-dashboard
BNZ,standalone,1-Month Mismatch Ratio,7.4,2023-Q1,rbnz-dashboard
BNZ,standalone,1-Week Mismatch Ratio,6.8,2023-Q1,rbnz-dashboard
BNZ,standalone,Top 5 Non-Bank Credit Exposures,29.5,2023-Q1,rbnz-dashboard
BNZ,standalone,Top 5 Bank Credit Exposures,21.9,2023-Q1,rbnz-dashboard
BNZ,standalone,Bank Exposures ≥10% of CET1,,2023-Q1,rbnz-dashboard
BOB,standalone,Total Capital Ratio,61.2,2023-Q1,rbnz-dashboard
BOB,standalone,CET1 Ratio,61.2,2023-Q1,rbnz-dashboard
BOB,standalone,Tier 1 Capital Ratio,61.2,2023-Q1,rbnz-dashboard
BOB,standalone,Total Risk-Weighted Assets,84.4,2023-Q1,rbnz-dashboard
BOB,standalone,Total Non-Performing Loans,2.1,2023-Q1,rbnz-dashboard
BOB,standalone,NPL Ratio,1.8,2023-Q1,rbnz-dashboard
BOB,standalone,Individual Provisions,,2023-Q1,rbnz-dashboard
BOB,standalone,Collective Provisions,0.4,2023-Q1,rbnz-dashboard
BOB,standalone,Return on Assets,1.8,2023-Q1,rbnz-dashboard
BOB,standalone,Return on Equity,4.9,2023-Q1,rbnz-dashboard
BOB,standalone,NIM,4.2,2023-Q1,rbnz-dashboard
BOB,standalone,Net Interest Income,1.4,2023-Q1,rbnz-dashboard
BOB,standalone,Trading and Hedging Gains,0.1,2023-Q1,rbnz-dashboard
BOB,standalone,Fees and Commission Income,0.1,2023-Q1,rbnz-dashboard
BOB,standalone,Other Income,0,2023-Q1,rbnz-dashboard
BOB,standalone,Operating Expenses,0.8,2023-Q1,rbnz-dashboard
BOB,standalone,Profit After Tax,0.6,2023-Q1,rbnz-dashboard
BOB,standalone,Total Assets,138.4,2023-Q1,rbnz-dashboard
BOB,standalone,Cash Position,19.9,2023-Q1,rbnz-dashboard
BOB,standalone,Net Loans and Advances,117.1,2023-Q1,rbnz-dashboard
BOB,standalone,Deposits,84.4,2023-Q1,rbnz-dashboard
BOB,standalone,Equity,51.9,2023-Q1,rbnz-dashboard
BOB,standalone,Core Funding Ratio (CFR),109.1,2023-Q1,rbnz-dashboard
BOB,standalone,1-Month Mismatch Ratio,13.1,2023-Q1,rbnz-dashboard
BOB,standalone,1-Week Mismatch Ratio,13.3,2023-Q1,rbnz-dashboard
BOB,standalone,Top 5 Non-Bank Credit Exposures,102.5,2023-Q1,rbnz-dashboard
BOB,standalone,Top 5 Bank Credit Exposures,38.5,2023-Q1,rbnz-dashboard
BOB,standalone,Bank Exposures ≥10% of CET1,1,2023-Q1,rbnz-dashboard
BOC,standalone,Total Capital Ratio,19.8,2023-Q1,rbnz-dashboard
BOC,standalone,CET1 Ratio,19.8,2023-Q1,rbnz-dashboard
BOC,standalone,Tier 1 Capital Ratio,19.8,2023-Q1,rbnz-dashboard
BOC,standalone,Total Risk-Weighted Assets,1471.3,2023-Q1,rbnz-dashboard
BOC,standalone,Total Non-Performing Loans,5.2,2023-Q1,rbnz-dashboard
BOC,standalone,NPL Ratio,0.2,2023-Q1,rbnz-dashboard
BOC,standalone,Individual Provisions,3.2,2023-Q1,rbnz-dashboard
BOC,standalone,Collective Provisions,11.5,2023-Q1,rbnz-dashboard
BOC,standalone,Return on Assets,0.5,2023-Q1,rbnz-dashboard
BOC,standalone,Return on Equity,6.2,2023-Q1,rbnz-dashboard
BOC,standalone,NIM,0.7,2023-Q1,rbnz-dashboard
BOC,standalone,Net Interest Income,6.4,2023-Q1,rbnz-dashboard
BOC,standalone,Trading and Hedging Gains,1.1,2023-Q1,rbnz-dashboard
BOC,standalone,Fees and Commission Income,5.3,2023-Q1,rbnz-dashboard
BOC,standalone,Other Income,0,2023-Q1,rbnz-dashboard
BOC,standalone,Operating Expenses,6.5,2023-Q1,rbnz-dashboard
BOC,standalone,Profit After Tax,4.5,2023-Q1,rbnz-dashboard
BOC,standalone,Total Assets,3428.5,2023-Q1,rbnz-dashboard
BOC,standalone,Cash Position,745.2,2023-Q1,rbnz-dashboard
BOC,standalone,Net Loans and Advances,2381.3,2023-Q1,rbnz-dashboard
BOC,standalone,Deposits,1626.3,2023-Q1,rbnz-dashboard
BOC,standalone,Equity,298.1,2023-Q1,rbnz-dashboard
BOC,standalone,Core Funding Ratio (CFR),88.6,2023-Q1,rbnz-dashboard
BOC,standalone,1-Month Mismatch Ratio,21.5,2023-Q1,rbnz-dashboard
BOC,standalone,1-Week Mismatch Ratio,25.4,2023-Q1,rbnz-dashboard
BOC,standalone,Top 5 Non-Bank Credit Exposures,89.7,2023-Q1,rbnz-dashboard
BOC,standalone,Top 5 Bank Credit Exposures,61.7,2023-Q1,rbnz-dashboard
BOC,standalone,Bank Exposures ≥10% of CET1,3,2023-Q1,rbnz-dashboard
BOC Group,group,Total Capital Ratio,,2023-Q1,rbnz-dashboard
BOC Group,group,CET1 Ratio,,2023-Q1,rbnz-dashboard
BOC Group,group,Tier 1 Capital Ratio,,2023-Q1,rbnz-dashboard
BOC Group,group,Total Risk-Weighted Assets,,2023-Q1,rbnz-dashboard
BOC Group,group,Total Non-Performing Loans,5.2,2023-Q1,rbnz-dashboard
BOC Group,group,NPL Ratio,0.1,2023-Q1,rbnz-dashboard
BOC Group,group,Individual Provisions,3.2,2023-Q1,rbnz-dashboard
BOC Group,group,Collective Provisions,20.4,2023-Q1,rbnz-dashboard
BOC Group,group,Return on Assets,0.7,2023-Q1,rbnz-dashboard
BOC Group,group,Return on Equity,14,2023-Q1,rbnz-dashboard
BOC Group,group,NIM,1.3,2023-Q1,rbnz-dashboard
BOC Group,group,Net Interest Income,20.3,2023-Q1,rbnz-dashboard
BOC Group,group,Trading and Hedging Gains,1.2,2023-Q1,rbnz-dashboard
BOC Group,group,Fees and Commission Income,0.7,2023-Q1,rbnz-dashboard
BOC Group,group,Other Income,0,2023-Q1,rbnz-dashboard
BOC Group,group,Operating Expenses,6.4,2023-Q1,rbnz-dashboard
BOC Group,group,Profit After Tax,11.6,2023-Q1,rbnz-dashboard
BOC Group,group,Total Assets,6247.8,2023-Q1,rbnz-dashboard
BOC Group,group,Cash Position,785.9,2023-Q1,rbnz-dashboard
BOC Group,group,Net Loans and Advances,5128.8,2023-Q1,rbnz-dashboard
BOC Group,group,Deposits,1700.2,2023-Q1,rbnz-dashboard
BOC Group,group,Equity,341.4,2023-Q1,rbnz-dashboard
BOC Group,group,Core Funding Ratio (CFR),,2023-Q1,rbnz-dashboard
BOC Group,group,1-Month Mismatch Ratio,,2023-Q1,rbnz-dashboard
BOC Group,group,1-Week Mismatch Ratio,,2023-Q1,rbnz-dashboard
BOC Group,group,Top 5 Non-Bank Credit Exposures,,2023-Q1,rbnz-dashboard
BOC Group,group,Top 5 Bank Credit Exposures,,2023-Q1,rbnz-dashboard
BOC Group,group,Bank Exposures ≥10% of CET1,,2023-Q1,rbnz-dashboard
BOI,standalone,Total Capital Ratio,45.5,2023-Q1,rbnz-dashboard
BOI,standalone,CET1 Ratio,45.5,2023-Q1,rbnz-dashboard
BOI,standalone,Tier 1 Capital Ratio,45.5,2023-Q1,rbnz-dashboard
BOI,standalone,Total Risk-Weighted Assets,133.2,2023-Q1,rbnz-dashboard
BOI,standalone,Total Non-Performing Loans,,2023-Q1,rbnz-dashboard
BOI,standalone,NPL Ratio,,2023-Q1,rbnz-dashboard
BOI,standalone,Individual Provisions,,2023-Q1,rbnz-dashboard
BOI,standalone,Collective Provisions,0.7,2023-Q1,rbnz-dashboard
BOI,standalone,Return on Assets,2.2,2023-Q1,rbnz-dashboard
BOI,standalone,Return on Equity,5.6,2023-Q1,rbnz-dashboard
BOI,standalone,NIM,4.7,2023-Q1,rbnz-dashboard
BOI,standalone,Net Interest Income,1.7,2023-Q1,rbnz-dashboard
BOI,standalone,Trading and Hedging Gains,0.1,2023-Q1,rbnz-dashboard
BOI,standalone,Fees and Commission Income,0,2023-Q1,rbnz-dashboard
BOI,standalone,Other Income,0,2023-Q1,rbnz-dashboard
BOI,standalone,Operating Expenses,0.6,2023-Q1,rbnz-dashboard
BOI,standalone,Profit After Tax,0.8,2023-Q1,rbnz-dashboard
BOI,standalone,Total Assets,152.9,2023-Q1,rbnz-dashboard
BOI,standalone,Cash Position,20.2,2023-Q1,rbnz-dashboard
BOI,standalone,Net Loans and Advances,130.9,2023-Q1,rbnz-dashboard
BOI,standalone,Deposits,81.9,2023-Q1,rbnz-dashboard
BOI,standalone,Equity,60.9,2023-Q1,rbnz-dashboard
BOI,standalone,Core Funding Ratio (CFR),94.1,2023-Q1,rbnz-dashboard
BOI,standalone,1-Month Mismatch Ratio,11.4,2023-Q1,rbnz-dashboard
BOI,standalone,1-Week Mismatch Ratio,12.6,2023-Q1,rbnz-dashboard
BOI,standalone,Top 5 Non-Bank Credit Exposures,99.1,2023-Q1,rbnz-dashboard
BOI,standalone,Top 5 Bank Credit Exposures,33,2023-Q1,rbnz-dashboard
BOI,standalone,Bank Exposures ≥10% of CET1,2,2023-Q1,rbnz-dashboard
CBA Group,group,Total Capital Ratio,,2023-Q1,rbnz-dashboard
CBA Group,group,CET1 Ratio,,2023-Q1,rbnz-dashboard
CBA Group,group,Tier 1 Capital Ratio,,2023-Q1,rbnz-dashboard
CBA Group,group,Total Risk-Weighted Assets,,2023-Q1,rbnz-dashboard
CBA Group,group,Total Non-Performing Loans,472.9,2023-Q1,rbnz-dashboard
CBA Group,group,NPL Ratio,0.4,2023-Q1,rbnz-dashboard
CBA Group,group,Individual Provisions,67.7,2023-Q1,rbnz-dashboard
CBA Group,group,Collective Provisions,543.7,2023-Q1,rbnz-dashboard
CBA Group,group,Return on Assets,1.2,2023-Q1,rbnz-dashboard
CBA Group,group,Return on Equity,13.3,2023-Q1,rbnz-dashboard
CBA Group,group,NIM,2.5,2023-Q1,rbnz-dashboard
CBA Group,group,Net Interest Income,768.2,2023-Q1,rbnz-dashboard
CBA Group,group,Trading and Hedging Gains,-3.4,2023-Q1,rbnz-dashboard
CBA Group,group,Fees and Commission Income,92.4,2023-Q1,rbnz-dashboard
CBA Group,group,Other Income,0.1,2023-Q1,rbnz-dashboard
CBA Group,group,Operating Expenses,313.9,2023-Q1,rbnz-dashboard
CBA Group,group,Profit After Tax,383,2023-Q1,rbnz-dashboard
CBA Group,group,Total Assets,128191.2,2023-Q1,rbnz-dashboard
CBA Group,group,Cash Position,7708.7,2023-Q1,rbnz-dashboard
CBA Group,group,Net Loans and Advances,109672.4,2023-Q1,rbnz-dashboard
CBA Group,group,Deposits,78743.5,2023-Q1,rbnz-dashboard
CBA Group,group,Equity,11807.8,2023-Q1,rbnz-dashboard
CBA Group,group,Core Funding Ratio (CFR),,2023-Q1,rbnz-dashboard
CBA Group,group,1-Month Mismatch Ratio,,2023-Q1,rbnz-dashboard
CBA Group,group,1-Week Mismatch Ratio,,2023-Q1,rbnz-dashboard
CBA Group,group,Top 5 Non-Bank Credit Exposures,,2023-Q1,rbnz-dashboard
CBA Group,group,Top 5 Bank Credit Exposures,,2023-Q1,rbnz-dashboard
CBA Group,group,Bank Exposures ≥10% of CET1,,2023-Q1,rbnz-dashboard
CCB,standalone,Total Capital Ratio,17.5,2023-Q1,rbnz-dashboard
CCB,standalone,CET1 Ratio,17.3,2023-Q1,rbnz-dashboard
CCB,standalone,Tier 1 Capital Ratio,17.3,2023-Q1,rbnz-dashboard
CCB,standalone,Total Risk-Weighted Assets,1675.7,2023-Q1,rbnz-dashboard
CCB,standalone,Total Non-Performing Loans,,2023-Q1,rbnz-dashboard
CCB,standalone,NPL Ratio,,2023-Q1,rbnz-dashboard
CCB,standalone,Individual Provisions,,2023-Q1,rbnz-dashboard
CCB,standalone,Collective Provisions,10.2,2023-Q1,rbnz-dashboard
CCB,standalone,Return on Assets,1,2023-Q1,rbnz-dashboard
CCB,standalone,Return on Equity,8.5,2023-Q1,rbnz-dashboard
CCB,standalone,NIM,1.8,2023-Q1,rbnz-dashboard
CCB,standalone,Net Interest Income,10.6,2023-Q1,rbnz-dashboard
CCB,standalone,Trading and Hedging Gains,-1.2,2023-Q1,rbnz-dashboard
CCB,standalone,Fees and Commission Income,0.9,2023-Q1,rbnz-dashboard
CCB,standalone,Other Income,0.1,2023-Q1,rbnz-dashboard
CCB,standalone,Operating Expenses,3,2023-Q1,rbnz-dashboard
CCB,standalone,Profit After Tax,6.1,2023-Q1,rbnz-dashboard
CCB,standalone,Total Assets,2392.6,2023-Q1,rbnz-dashboard
CCB,standalone,Cash Position,298,2023-Q1,rbnz-dashboard
CCB,standalone,Net Loans and Advances,1789.7,2023-Q1,rbnz-dashboard
CCB,standalone,Deposits,431,2023-Q1,rbnz-dashboard
CCB,standalone,Equity,294.1,2023-Q1,rbnz-dashboard
CCB,standalone,Core Funding Ratio (CFR),91.8,2023-Q1,rbnz-dashboard
CCB,standalone,1-Month Mismatch Ratio,18.9,2023-Q1,rbnz-dashboard
CCB,standalone,1-Week Mismatch Ratio,19.8,2023-Q1,rbnz-dashboard
CCB,standalone,Top 5 Non-Bank Credit Exposures,132.5,2023-Q1,rbnz-dashboard
CCB,standalone,Top 5 Bank Credit Exposures,63.9,2023-Q1,rbnz-dashboard
CCB,standalone,Bank Exposures ≥10% of CET1,4,2023-Q1,rbnz-dashboard
CCB Group,group,Total Capital Ratio,,2023-Q1,rbnz-dashboard
CCB Group,group,CET1 Ratio,,2023-Q1,rbnz-dashboard
CCB Group,group,Tier 1 Capital Ratio,,2023-Q1,rbnz-dashboard
CCB Group,group,Total Risk-Weighted Assets,,2023-Q1,rbnz-dashboard
CCB Group,group,Total Non-Performing Loans,,2023-Q1,rbnz-dashboard
CCB Group,group,NPL Ratio,,2023-Q1,rbnz-dashboard
CCB Group,group,Individual Provisions,,2023-Q1,rbnz-dashboard
CCB Group,group,Collective Provisions,12.1,2023-Q1,rbnz-dashboard
CCB Group,group,Return on Assets,1.2,2023-Q1,rbnz-dashboard
CCB Group,group,Return on Equity,15.2,2023-Q1,rbnz-dashboard
CCB Group,group,NIM,1.9,2023-Q1,rbnz-dashboard
CCB Group,group,Net Interest Income,20.6,2023-Q1,rbnz-dashboard
CCB Group,group,Trading and Hedging Gains,-3.6,2023-Q1,rbnz-dashboard
CCB Group,group,Fees and Commission Income,2.4,2023-Q1,rbnz-dashboard
CCB Group,group,Other Income,0,2023-Q1,rbnz-dashboard
CCB Group,group,Operating Expenses,5,2023-Q1,rbnz-dashboard
CCB Group,group,Profit After Tax,12.4,2023-Q1,rbnz-dashboard
CCB Group,group,Total Assets,4245.2,2023-Q1,rbnz-dashboard
CCB Group,group,Cash Position,775.4,2023-Q1,rbnz-dashboard
CCB Group,group,Net Loans and Advances,3151.4,2023-Q1,rbnz-dashboard
CCB Group,group,Deposits,432.5,2023-Q1,rbnz-dashboard
CCB Group,group,Equity,338.5,2023-Q1,rbnz-dashboard
CCB Group,group,Core Funding Ratio (CFR),,2023-Q1,rbnz-dashboard
CCB Group,group,1-Month Mismatch Ratio,,2023-Q1,rbnz-dashboard
CCB Group,group,1-Week Mismatch Ratio,,2023-Q1,rbnz-dashboard
CCB Group,group,Top 5 Non-Bank Credit Exposures,,2023-Q1,rbnz-dashboard
CCB Group,group,Top 5 Bank Credit Exposures,,2023-Q1,rbnz-dashboard
CCB Group,group,Bank Exposures ≥10% of CET1,,2023-Q1,rbnz-dashboard
Co-op,standalone,Total Capital Ratio,16.6,2023-Q1,rbnz-dashboard
Co-op,standalone,CET1 Ratio,14.3,2023-Q1,rbnz-dashboard
Co-op,standalone,Tier 1 Capital Ratio,14.3,2023-Q1,rbnz-dashboard
Co-op,standalone,Total Risk-Weighted Assets,1567.1,2023-Q1,rbnz-dashboard
Co-op,standalone,Total Non-Performing Loans,11.9,2023-Q1,rbnz-dashboard
Co-op,standalone,NPL Ratio,0.4,2023-Q1,rbnz-dashboard
Co-op,standalone,Individual Provisions,0.5,2023-Q1,rbnz-dashboard
Co-op,standalone,Collective Provisions,7.4,2023-Q1,rbnz-dashboard
Co-op,standalone,Return on Assets,-0.4,2023-Q1,rbnz-dashboard
Co-op,standalone,Return on Equity,-4.7,2023-Q1,rbnz-dashboard
Co-op,standalone,NIM,2.6,2023-Q1,rbnz-dashboard
Co-op,standalone,Net Interest Income,20.7,2023-Q1,rbnz-dashboard
Co-op,standalone,Trading and Hedging Gains,-7.3,2023-Q1,rbnz-dashboard
Co-op,standalone,Fees and Commission Income,3.6,2023-Q1,rbnz-dashboard
Co-op,standalone,Other Income,1.4,2023-Q1,rbnz-dashboard
Co-op,standalone,Operating Expenses,22.2,2023-Q1,rbnz-dashboard
Co-op,standalone,Profit After Tax,-3.1,2023-Q1,rbnz-dashboard
Co-op,standalone,Total Assets,3343.5,2023-Q1,rbnz-dashboard
Co-op,standalone,Cash Position,39.5,2023-Q1,rbnz-dashboard
Co-op,standalone,Net Loans and Advances,2889.4,2023-Q1,rbnz-dashboard
Co-op,standalone,Deposits,2834.2,2023-Q1,rbnz-dashboard
Co-op,standalone,Equity,263,2023-Q1,rbnz-dashboard
Co-op,standalone,Core Funding Ratio (CFR),100.3,2023-Q1,rbnz-dashboard
Co-op,standalone,1-Month Mismatch Ratio,15.6,2023-Q1,rbnz-dashboard
Co-op,standalone,1-Week Mismatch Ratio,13.3,2023-Q1,rbnz-dashboard
Co-op,standalone,Top 5 Non-Bank Credit Exposures,32.4,2023-Q1,rbnz-dashboard
Co-op,standalone,Top 5 Bank Credit Exposures,34.8,2023-Q1,rbnz-dashboard
Co-op,standalone,Bank Exposures ≥10% of CET1,1,2023-Q1,rbnz-dashboard
Heartland,standalone,Total Capital Ratio,12.6,2023-Q1,rbnz-dashboard
Heartland,standalone,CET1 Ratio,12.6,2023-Q1,rbnz-dashboard
Heartland,standalone,Tier 1 Capital Ratio,12.6,2023-Q1,rbnz-dashboard
Heartland,standalone,Total Risk-Weighted Assets,4890.2,2023-Q1,rbnz-dashboard
Heartland,standalone,Total Non-Performing Loans,138,2023-Q1,rbnz-dashboard
Heartland,standalone,NPL Ratio,2.8,2023-Q1,rbnz-dashboard
Heartland,standalone,Individual Provisions,19.5,2023-Q1,rbnz-dashboard
Heartland,standalone,Collective Provisions,35.4,2023-Q1,rbnz-dashboard
Heartland,standalone,Return on Assets,1.3,2023-Q1,rbnz-dashboard
Heartland,standalone,Return on Equity,9.9,2023-Q1,rbnz-dashboard
Heartland,standalone,NIM,4.1,2023-Q1,rbnz-dashboard
Heartland,standalone,Net Interest Income,53,2023-Q1,rbnz-dashboard
Heartland,standalone,Trading and Hedging Gains,-2.8,2023-Q1,rbnz-dashboard
Heartland,standalone,Fees and Commission Income,1.9,2023-Q1,rbnz-dashboard
Heartland,standalone,Other Income,3,2023-Q1,rbnz-dashboard
Heartland,standalone,Operating Expenses,24.1,2023-Q1,rbnz-dashboard
Heartland,standalone,Profit After Tax,17.6,2023-Q1,rbnz-dashboard
Heartland,standalone,Total Assets,5476,2023-Q1,rbnz-dashboard
Heartland,standalone,Cash Position,239.6,2023-Q1,rbnz-dashboard
Heartland,standalone,Net Loans and Advances,4796,2023-Q1,rbnz-dashboard
Heartland,standalone,Deposits,4059.5,2023-Q1,rbnz-dashboard
Heartland,standalone,Equity,705.8,2023-Q1,rbnz-dashboard
Heartland,standalone,Core Funding Ratio (CFR),90.2,2023-Q1,rbnz-dashboard
Heartland,standalone,1-Month Mismatch Ratio,8.4,2023-Q1,rbnz-dashboard
Heartland,standalone,1-Week Mismatch Ratio,8.7,2023-Q1,rbnz-dashboard
Heartland,standalone,Top 5 Non-Bank Credit Exposures,33.7,2023-Q1,rbnz-dashboard
Heartland,standalone,Top 5 Bank Credit Exposures,53.8,2023-Q1,rbnz-dashboard
Heartland,standalone,Bank Exposures ≥10% of CET1,3,2023-Q1,rbnz-dashboard
ICBC,standalone,Total Capital Ratio,19,2023-Q1,rbnz-dashboard
ICBC,standalone,CET1 Ratio,19,2023-Q1,rbnz-dashboard
ICBC,standalone,Tier 1 Capital Ratio,19,2023-Q1,rbnz-dashboard
ICBC,standalone,Total Risk-Weighted Assets,1578.7,2023-Q1,rbnz-dashboard
ICBC,standalone,Total Non-Performing Loans,2.5,2023-Q1,rbnz-dashboard
ICBC,standalone,NPL Ratio,0.2,2023-Q1,rbnz-dashboard
ICBC,standalone,Individual Provisions,1.4,2023-Q1,rbnz-dashboard
ICBC,standalone,Collective Provisions,7.8,2023-Q1,rbnz-dashboard
ICBC,standalone,Return on Assets,1.1,2023-Q1,rbnz-dashboard
ICBC,standalone,Return on Equity,8,2023-Q1,rbnz-dashboard
ICBC,standalone,NIM,1.5,2023-Q1,rbnz-dashboard
ICBC,standalone,Net Interest Income,8.4,2023-Q1,rbnz-dashboard
ICBC,standalone,Trading and Hedging Gains,2,2023-Q1,rbnz-dashboard
ICBC,standalone,Fees and Commission Income,0.3,2023-Q1,rbnz-dashboard
ICBC,standalone,Other Income,2.8,2023-Q1,rbnz-dashboard
ICBC,standalone,Operating Expenses,5.7,2023-Q1,rbnz-dashboard
