entity,entity_type,metric,value,period,source
BNZ,standalone,Core Funding Ratio (CFR),86.2,2018-Q1,rbnz-dashboard
BNZ,standalone,1-Month Mismatch Ratio,6,2018-Q1,rbnz-dashboard
BNZ,standalone,1-Week Mismatch Ratio,5.4,2018-Q1,rbnz-dashboard
BNZ,standalone,Top 5 Non-Bank Credit Exposures,31.9,2018-Q1,rbnz-dashboard
BNZ,standalone,Top 5 Bank Credit Exposures,52.9,2018-Q1,rbnz-dashboard
BNZ,standalone,Bank Exposures ≥10% of CET1,2,2018-Q1,rbnz-dashboard
BOB,standalone,Total Capital Ratio,78.1,2018-Q1,rbnz-dashboard
BOB,standalone,CET1 Ratio,78.1,2018-Q1,rbnz-dashboard
BOB,standalone,Tier 1 Capital Ratio,78.1,2018-Q1,rbnz-dashboard
BOB,standalone,Total Risk-Weighted Assets,60.2,2018-Q1,rbnz-dashboard
BOB,standalone,Total Non-Performing Loans,,2018-Q1,rbnz-dashboard
BOB,standalone,NPL Ratio,,2018-Q1,rbnz-dashboard
BOB,standalone,Individual Provisions,,2018-Q1,rbnz-dashboard
BOB,standalone,Collective Provisions,0.4,2018-Q1,rbnz-dashboard
BOB,standalone,Return on Assets,0.8,2018-Q1,rbnz-dashboard
BOB,standalone,Return on Equity,2,2018-Q1,rbnz-dashboard
BOB,standalone,NIM,2.9,2018-Q1,rbnz-dashboard
BOB,standalone,Net Interest Income,0.8,2018-Q1,rbnz-dashboard
BOB,standalone,Trading and Hedging Gains,0.3,2018-Q1,rbnz-dashboard
BOB,standalone,Fees and Commission Income,0,2018-Q1,rbnz-dashboard
BOB,standalone,Other Income,0,2018-Q1,rbnz-dashboard
BOB,standalone,Operating Expenses,0.8,2018-Q1,rbnz-dashboard
BOB,standalone,Profit After Tax,0.2,2018-Q1,rbnz-dashboard
BOB,standalone,Total Assets,115.9,2018-Q1,rbnz-dashboard
BOB,standalone,Cash Position,29.2,2018-Q1,rbnz-dashboard
